ContractNaturalId,PlanetNaturalId,PlanetName,OriginPlanetNaturalId,OriginPlanetName,DestinationPlanetNaturalId,DestinationPlanetName,CargoWeight,CargoVolume,CreatorCompanyName,CreatorCompanyCode,PayoutPrice,PayoutCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
47748,MOR,Moria Station,XG-326d,Frost,MOR,Moria Station,1000.0,1000.0,Taiz Enterprises,TPE,6000.0,NCC,5,1761072873691,1761504873691,
47747,MOR,Moria Station,XG-326d,Frost,MOR,Moria Station,1000.0,1000.0,Taiz Enterprises,TPE,6000.0,NCC,5,1761072871495,1761504871495,
47746,MOR,Moria Station,XG-326d,Frost,MOR,Moria Station,1000.0,1000.0,Taiz Enterprises,TPE,6000.0,NCC,5,1761072870344,1761504870344,
1917,KW-358b,Giedi Prime,JS-299a,Nemesis,KW-358b,Giedi Prime,496.3349914550781,435.0,Kronos,KRO,3000.0,CIS,10,1760813879342,1762109879342,
33261,KW-688c,Etherwind,KW-688c,Etherwind,KW-358b,Giedi Prime,741.6500244140625,650.0,Vector M Industries,VMI,5000.0,CIS,3,1761349408918,1761781408918,
33256,KW-688c,Etherwind,KW-688c,Etherwind,MOR,Moria Station,2000.0,2000.0,BistroMath,BMTH,20000.0,NCC,5,1761152276023,1761929876023,
473,KW-976c,Salusa Secundus,KW-976c,Salusa Secundus,BEN,Benten Station,499.489990234375,199.0,MoreFairGame,MFG,8000.0,CIS,3,1761058796751,1763650796751,
472,KW-976c,Salusa Secundus,KW-976c,Salusa Secundus,BEN,Benten Station,499.489990234375,199.0,MoreFairGame,MFG,8000.0,CIS,3,1761058795923,1763650795923,
471,KW-976c,Salusa Secundus,KW-976c,Salusa Secundus,BEN,Benten Station,499.489990234375,199.0,MoreFairGame,MFG,8000.0,CIS,3,1761058795193,1763650795193,
77,TD-260b,TD-260b,TD-260b,TD-260b,PB-519a,PB-519a,100.0,100.0,Valencia,VAL,3000.0,NCC,5,1737183876191,1737270276191,
76,TD-260b,TD-260b,TD-260b,TD-260b,PB-519a,PB-519a,210.0,100.0,Valencia,VAL,3000.0,NCC,5,1737183868023,1737270268023,
108,PD-754d,Ashland,FK-794b,Boucher,PD-754d,Ashland,12000.0,12000.0,Weyland,BL7,120000.0,ICA,10,1760322990478,1761618990478,
96450,UV-796b,Proxion,UV-796b,Proxion,UV-351c,Umbra,104.0,80.0,GEP-OFFICE,GPO,1000.0,CIS,3,1761371202067,1761630402067,
96448,UV-796b,Proxion,UV-796b,Proxion,XH-329a,Uponor,119.69999694824219,126.0,Vector M Industries,VMI,4000.0,CIS,3,1761344463947,1761776463947,
73,ZV-896c,Life,ZV-896c,Life,ANT,Antares Station,344.0,400.0,IronVein,IV14,6000.0,AIC,10,1761246275458,1762110275458,
72,ZV-896c,Life,ZV-896c,Life,ANT,Antares Station,650.0,500.0,IronVein,IV14,6000.0,AIC,10,1761246265941,1762110265941,
71,ZV-896c,Life,ZV-896c,Life,ANT,Antares Station,650.0,500.0,IronVein,IV14,6000.0,AIC,10,1761246264911,1762110264911,
70,ZV-896c,Life,ZV-896c,Life,ANT,Antares Station,400.0,500.0,IronVein,IV14,6000.0,AIC,10,1761246253492,1762110253492,
69,ZV-896c,Life,ZV-896c,Life,ANT,Antares Station,400.0,500.0,IronVein,IV14,6000.0,AIC,10,1761246252253,1762110252253,
68,ZV-896c,Life,ZV-896c,Life,ANT,Antares Station,400.0,500.0,IronVein,IV14,6000.0,AIC,10,1761246251254,1762110251254,
67,ZV-896c,Life,ZV-896c,Life,ANT,Antares Station,400.0,500.0,IronVein,IV14,6000.0,AIC,10,1761246250205,1762110250205,
66,ZV-896c,Life,ZV-896c,Life,ANT,Antares Station,400.0,500.0,IronVein,IV14,6000.0,AIC,10,1761246249198,1762110249198,
480,YK-005d,Halcyon,YK-005d,Halcyon,ANT,Antares Station,1085.0,500.0,IronVein,IV14,15000.0,AIC,10,1761245950053,1762109950053,
479,YK-005d,Halcyon,YK-005d,Halcyon,ANT,Antares Station,1085.0,500.0,IronVein,IV14,15000.0,AIC,10,1761245946167,1762109946167,
478,YK-005d,Halcyon,YK-005d,Halcyon,ANT,Antares Station,1085.0,500.0,IronVein,IV14,15000.0,AIC,10,1761245944788,1762109944788,
477,YK-005d,Halcyon,YK-005d,Halcyon,ANT,Antares Station,1085.0,500.0,IronVein,IV14,15000.0,AIC,10,1761245943550,1762109943550,
476,YK-005d,Halcyon,YK-005d,Halcyon,ANT,Antares Station,1085.0,500.0,IronVein,IV14,15000.0,AIC,10,1761245941658,1762109941658,
475,YK-005d,Halcyon,YK-005d,Halcyon,ANT,Antares Station,1085.0,500.0,IronVein,IV14,15000.0,AIC,10,1761245940208,1762109940208,
311,YI-280j,S A I G O Prime,YI-280j,S A I G O Prime,MOR,Moria Station,1730.0,1000.0,SAIGO Enterprises,315E,30000.0,NCC,5,1761222955041,1763814955041,
310,YI-280j,S A I G O Prime,YI-280j,S A I G O Prime,MOR,Moria Station,1920.0,1000.0,SAIGO Enterprises,315E,35000.0,NCC,5,1761007202132,1763599202132,
